date,symbol,series,prev_close,open,high,low,last,close,vwap,volume,high_mean_lag3,high_mean_lag7,high_mean_lag30,high_std_lag3,high_std_lag7,high_std_lag30,low_mean_lag3,low_mean_lag7,low_mean_lag30,low_std_lag3,low_std_lag7,low_std_lag30,volume_mean_lag3,volume_mean_lag7,volume_mean_lag30,volume_std_lag3,volume_std_lag7,volume_std_lag30
2011-06-06,BAJAJFINSV,EQ,508.4,508.0,508.0,496.0,502.25,502.25,501.92,33537,522.93335,510.24286,515.27,5.211126,15.821516,20.813663,509.03333,496.80713,497.42334,7.0571475,12.743509,18.302853,70924.0,92295.0,147066.8,39069.996,107514.29,180242.94
2011-06-07,BAJAJFINSV,EQ,502.25,503.0,552.0,503.0,546.5,545.5,536.79,1237385,515.95,512.61426,513.73834,6.8853106,13.616984,19.519556,502.0,498.77856,496.17334,5.2915025,11.0639,16.987282,44316.332,93142.43,137458.1,16217.264,106941.27,178279.72
2011-06-08,BAJAJFINSV,EQ,545.5,541.0,564.55,533.7,557.3,560.75,551.83,1165795,526.6667,521.1857,513.8883,22.744963,16.953533,19.803177,501.66666,501.48572,495.52335,5.1316013,8.981914,16.304535,435789.0,264881.44,170191.97,694204.0,441228.16,268168.56
2011-06-09,BAJAJFINSV,EQ,560.75,559.75,574.4,545.2,563.0,564.2,564.84,1072031,541.51666,530.6929,514.50665,29.696815,20.144135,21.088306,510.9,507.6857,495.64667,20.053179,13.70893,16.58589,812239.0,425217.72,202661.5,675325.0,540177.3,324018.5
2011-06-10,BAJAJFINSV,EQ,564.2,567.1,573.45,555.6,557.8,560.9,565.45,540701,563.65,538.25,515.27,11.227088,25.36648,22.81712,527.3,515.0,495.94666,21.81582,18.134405,17.405825,1158403.6,531645.7,229136.9,82924.42,588810.7,360736.1
2011-06-13,BAJAJFINSV,EQ,560.9,564.05,565.6,546.05,550.5,550.65,555.53,165282,570.8,544.6071,516.00336,5.433461,28.078484,24.323818,544.8333,520.5,496.96667,10.954603,23.823448,19.886862,926175.7,592694.44,242080.0,337106.75,559645.5,364830.8
2011-06-14,BAJAJFINSV,EQ,550.65,552.45,568.9,551.0,552.0,552.5,560.41,205216,571.15,551.1429,517.07166,4.829855,26.643267,25.78124,548.95,526.50714,497.91666,5.7747293,24.266891,21.517881,592671.3,607310.9,245270.36,455603.03,544639.56,363686.94
2011-06-15,BAJAJFINSV,EQ,552.5,556.0,565.7,546.0,548.05,548.15,557.41,140596,569.31665,558.1286,518.5317,3.9415522,23.320303,27.438503,550.88336,532.9357,499.55,4.7760687,23.88641,23.597698,303733.0,631421.0,249663.1,206189.38,518252.97,362333.22
2011-06-16,BAJAJFINSV,EQ,548.15,548.0,550.0,531.15,539.5,537.8,542.89,63988,566.73334,566.3714,520.225,1.8770545,7.4370613,28.743164,547.68335,540.07855,501.35,2.8724263,17.666584,25.018675,170364.67,646715.1,251261.14,32608.453,498885.97,361722.06
2011-06-17,BAJAJFINSV,EQ,537.8,541.2,547.8,530.2,538.4,534.3,538.38,71705,561.5333,566.0857,521.6583,10.1154995,8.090876,29.130463,542.7167,544.1,503.04834,10.324284,8.797206,25.261581,136600.0,479087.0,251116.83,70698.75,463197.03,361798.44
